baseMean log2FoldChange lfcSE stat pvalue padj
Solyc02g080790.4.1.1 319.093046010611 5.2765013039747 0.494924398746711 10.6612268809869 1.54545107727566e-26 4.11139839815882e-23
Solyc08g078930.1.1.1 2051.50504402261 -4.42361077941632 0.415239671910505 -10.6531506468624 1.68561554620454e-26 4.34414731548402e-23
Solyc01g107720.3.1.3 237.213524019324 -5.88946100262783 0.555032974225824 -10.6110110139719 2.64867370554404e-26 6.61927637867325e-23
Solyc04g071900.5.1.3 2876.51982794048 4.3529200419071 0.420071566096793 10.3623296438591 3.67890678185495e-25 8.9235130088111e-22
Solyc08g067030.3.1.3 818.170894122595 4.27187279532016 0.412813903285507 10.3481805271604 4.26514146726092e-25 1.00498919087145e-21
Solyc05g008150.3.1.2 265.62298166325 -9.0387983143423 0.880463796841385 -10.2659511348093 1.003273788081e-24 2.29833303619555e-21
Solyc12g005370.2.1.1 669.872443112037 -5.34923966015386 0.522261782212785 -10.2424489831317 1.27955774320959e-24 2.85203046168906e-21
Solyc07g052660.1.1.2 439.569825137294 -4.43502234559727 0.439571297196484 -10.089426616076 6.1527857801562e-24 1.33531642970916e-20
Solyc02g078100.3.1.2 662.607518842343 -4.53276036649309 0.455965116511103 -9.94102443883492 2.75974232002677e-23 5.83579356750276e-20
Solyc11g007370.3.1.1 362.493309353809 -5.77520193270777 0.583460427934276 -9.89818958786065 4.23878550912781e-23 8.73931602344427e-20
Solyc06g067860.3.1.3 1634.96501991955 -3.64314558377559 0.37027672915321 -9.83898067833521 7.64817749771393e-23 1.53840292252797e-19
Solyc03g083996.1.1.1 623.489216580458 4.75101920694779 0.484113629947926 9.81385136266218 9.81493690844237e-23 1.92723296866486e-19
Solyc04g007750.5.1.2 9414.83778410791 4.55820969670895 0.464897636667362 9.80475988087327 1.07402139741152e-22 2.01305783283019e-19
Solyc07g017880.5.1.4 1409.93888178434 -4.95340949317615 0.505085961489013 -9.80706230395575 1.0498028777049e-22 2.01305783283019e-19
Solyc12g005790.2.1.4 202.546195431169 -5.40312570962446 0.553042948574017 -9.7698121340414 1.51733166714932e-22 2.78076316866232e-19
Solyc05g015300.5.1.3 2715.23298844238 -4.33616043970043 0.4471468424277 -9.697396980728 3.09288453352486e-22 5.54500407564772e-19
